Name,Region,Origin
Cael Huerta,UK,Pasir Ris MRT
Kaylin Giles,US,Orchard MRT
Lawrence Villa,AUS,Tan Kah Kee MRT
Holly Cardenas,AUS,Simei MRT
Zachery Leach,AUS,Bukit Gombak MRT
Harold Costa,UK,Dhoby Ghaut MRT
Alani Krueger,AUS,Punggol MRT
Yasmine Everett,US,Kembangan MRT
Enrique Reese,AUS,Sixth Avenue MRT
Deegan Reynolds,UK,Stevens MRT
Samir Doyle,UK,Harbourfront MRT
Mila Bradshaw,AUS,Buona Vista MRT
Autumn Compton,UK,Queenstown MRT
Ciara Anthony,UK,Woodlands MRT
Ernesto Perez,AUS,Ang Mo Kio MRT
Carleigh Wheeler,UK,Pasir Ris MRT
Jonathon Espinoza,UK,King Albert Park MRT
Jaylen Chapman,UK,Sixth Avenue MRT
Brenton Hensley,UK,King albert park MRT
Hezekiah Aguilar,US,Habourfront MRT
Jeremy Odom,UK,yishun  MRT
Roman Pittman,AUS,Yishun MRT
Zariah Fox,UK,Orchard MRT
Yusuf Romero,AUS,Woodlands MRT
Maddox Mcconnell,UK,Tampines MRT
Mackenzie Pearson,UK,Woodlands MRT
Hunter Perkins,UK,Choa Chu Kang MRT
Sydney Robinson,UK,Sixth Avenue MRT
Edith Alvarez,UK,Holland Village MRT
Moriah Carson,US,Orchard MRT
Roberto Herrera,UK,HarbourFront MRT
Adrien Thornton,UK,Sixth Avenue MRT
Hassan Waters,AUS,Serangoon MRT
Kaleb Callahan,AUS,Bukit Batok MRT
Kamden Mccall,US,lavender MRT
Lucy Goodman,UK,Boon Lay MRT
Yaritza Holland,,Tampines MRT
